subj,trialExp,trialRoom,rt,signedPE,reward,estimate,absPE,risk,signedErr,absErr,learningRate,lrcat,deck
1,0,0,4962,-40,20,60,40,1,20,20,0.75,-50,40
1,1,1,3363,0,60,60,0,1,0,0,,,60
1,2,2,4099,50,80,30,50,1,-10,10,0.6,50,40
1,3,3,4678,-30,20,50,30,1,-10,10,-0.666666667,-30,60
1,4,4,5784,-60,0,60,60,1,20,20,0.666666667,-50,40
1,5,5,3378,40,60,20,40,1,-20,20,0.5,50,40
1,6,6,3857,30,100,70,30,1,10,10,0.333333333,30,60
1,7,7,3871,0,80,80,0,1,20,20,,,60
1,8,8,3742,0,40,40,0,1,0,0,,,40
1,9,9,3736,-10,40,50,10,1,-10,10,3,-10,60
1,10,10,3550,80,100,20,80,1,-40,40,0.75,70,60
1,11,11,3668,20,60,40,20,1,0,0,0,10,40
1,12,12,3839,-40,0,40,40,1,0,0,0.25,-50,40
1,13,13,4127,-40,40,80,40,1,20,20,1.25,-50,60
1,14,14,4807,50,80,30,50,1,-10,10,0.6,50,40
1,15,15,3698,-10,20,30,10,1,-30,30,-3,-10,60
1,16,16,4441,-40,20,60,40,1,20,20,0.75,-50,40
1,17,17,4410,20,80,60,20,1,0,0,0,10,60
1,18,18,3657,0,60,60,0,1,0,0,,,60
1,19,19,4438,10,40,30,10,1,-10,10,1,10,40
1,20,20,4406,40,80,40,40,1,0,0,0.25,50,40
1,21,21,4074,-70,20,90,70,1,30,30,0.428571429,-70,60
1,22,22,3836,40,100,60,40,1,0,0,-1.4,50,60
1,23,23,3310,-10,40,50,10,1,10,10,4,-10,40
1,24,24,4657,56,60,4,56,1,-56,56,0.821428571,50,60
1,25,25,3981,50,60,10,50,1,-30,30,1.4,50,40
1,26,26,4275,30,80,50,30,1,-10,10,1,30,60
1,27,27,4210,-60,20,80,60,1,40,40,0.666666667,-50,40
1,28,28,3621,-40,0,40,40,1,0,0,,-50,40
1,29,29,3315,-40,40,80,40,1,20,20,,-50,60
1,30,0,3671,10,70,60,10,0,0,0,-2,10,60
1,31,1,3239,10,30,20,10,0,-20,20,4,10,40
1,32,2,4503,-20,40,60,20,0,20,20,-0.5,-10,40
1,33,3,3506,40,80,40,40,0,-20,20,-0.5,50,60
1,34,4,5143,40,60,20,40,0,-40,40,1.5,50,60
1,35,5,7170,-20,50,70,20,0,30,30,0.5,-10,40
1,36,6,4347,-40,20,60,40,0,20,20,1.125,-50,40
1,37,7,3944,-40,40,80,40,0,20,20,0.25,-50,60
1,38,8,6003,45,60,15,45,0,-25,25,1.444444444,50,40
1,39,9,3478,-20,50,70,20,0,10,10,-0.5,-10,60
1,40,10,4846,-30,50,80,30,0,40,40,1.666666667,-30,40
1,41,11,3448,-20,60,80,20,0,20,20,1,-10,60
1,42,12,6568,-10,50,60,10,0,0,0,-1,-10,60
1,43,13,3369,0,30,30,0,0,-10,10,,,40
1,44,14,4006,0,70,70,0,0,10,10,,,60
1,45,15,4526,0,40,40,0,0,0,0,,,40
1,46,16,3806,-50,40,90,50,0,30,30,-0.2,-50,60
1,47,17,4495,40,60,20,40,0,-20,20,0.25,50,40
1,48,18,5341,-20,80,100,20,0,40,40,0.5,-10,60
1,49,19,4600,-10,20,30,10,0,-10,10,1,-10,40
1,50,20,3896,-30,60,90,30,0,30,30,0.333333333,-30,60
1,51,21,3823,-10,70,80,10,0,20,20,2,-10,60
1,52,22,3474,30,50,20,30,0,-20,20,0.666666667,30,40
1,53,23,4370,0,40,40,0,0,0,0,,,40
1,54,24,4389,20,80,60,20,0,0,0,1.5,10,60
1,55,25,4915,-10,30,40,10,0,0,0,2,-10,40
1,56,26,5111,40,60,20,40,0,-20,20,0.5,50,40
1,57,27,3738,-50,40,90,50,0,30,30,1.4,-50,60
1,58,28,3686,30,50,20,30,0,-40,40,,30,60
1,59,29,4052,-20,20,40,20,0,0,0,,-10,40
2,0,0,4632,-14,20,34,14,1,-6,6,-3.785714286,-10,40
2,1,1,4695,58,100,42,58,1,-18,18,0.275862069,50,60
2,2,2,5426,-47,40,87,47,1,47,47,1.319148936,-50,40
2,3,3,4095,-18,40,58,18,1,-2,2,0,-10,60
2,4,4,3672,-25,0,25,25,1,-15,15,-1.24,-30,40
2,5,5,3900,4,60,56,4,1,16,16,3.25,10,40
2,6,6,3497,2,60,58,2,1,-2,2,-8,10,60
2,7,7,3669,-22,20,42,22,1,-18,18,-1.863636364,-30,60
2,8,8,4600,11,80,69,11,1,29,29,-1.909090909,10,40
2,9,9,5215,-3,80,83,3,1,23,23,13.33333333,-10,60
2,10,10,4329,57,100,43,57,1,-17,17,-0.754385965,50,60
2,11,11,7013,-8,40,48,8,1,8,8,2.75,-10,40
2,12,12,4140,-26,0,26,26,1,-14,14,-0.346153846,-30,40
2,13,13,3819,60,60,0,60,1,-60,60,1.233333333,50,60
2,14,14,4655,45,80,35,45,1,-5,5,0.933333333,50,40
2,15,15,6394,6,80,74,6,1,14,14,-1.666666667,10,60
2,16,16,5339,-57,20,77,57,1,37,37,-0.052631579,-50,40
2,17,17,4400,-44,20,64,44,1,4,4,0.727272727,-50,60
2,18,18,3714,8,40,32,8,1,-28,28,-1.5,10,60
